Dia,Assunto,Duração (min),Prioridade,Área
segunda feira,Arte Contemporânea,15,Média,"Linguagens, Códigos e suas Tecnologias"
segunda,Estatística Básica - Parte 3,20,Média,Matemática e suas Tecnologias
